Наименование в датасете;Описание;;;
Sales_packs;Количество продаж в упаковках, шт;;;
Sales_packs;Количество продаж в денежном выражении, грн;;;
Penetration;представленность препарата в продаже (аптечные розничные сети, оффлайн), в % от общеукраинского количества точек продаж;;;
Pricer_per_pack;средняя цена в рознице за 1 упаковку, грн;;;
Aw_MMI;% потребителей, знающих бренд (данные ММИ);;;
Internet_insertions;данные по рекламной активности бренда в Интернет (количество выходов);;;
Internet_impressions;данные по рекламной активности бренда в Интернет (количество показов рекламного сообщения);;;
Internet_real users;данные по рекламной активности бренда в Интернет (количество уникальных пользователей, увидевших рекламу бренда);;;
TV_TRP;данные по рекламной активности бренда на ТВ ( количество контактов с рекламным сообщением бренда, выраженное в % от размера целевой аудитории, т.е. количества потенциальных покупателей бренда);;;
SOV, %; = TV_TRP / TRP_category;;;
TRP_category;"данные по суммарной рекламной активности всех брендов категории на ТВ ( учитывается ""наш"" бренд, для которого производится прогноз и актичсность всех его конкурентов)";;;
Temperature;Температура днем;;;
UAH_to_USD;Курс дол. США;;;
google_requests_for brand; Запросы в Google, содержащие одну из вариаций названия бренда;;;
IPN;GFK_індекс споживчих настроїв (ІСН);;;
Cons_Inflation;Индекс потребительских цен (инфляция);;;
Real wage;средняя реальная зароботная плата в украине (официальная статистика, в грн);;;
COVID info-noise;инфо-шум связанный с пандемией covid-19 (запросы в гугл по тематике, связанной с карантином, локдауном, зонированием и т.п.);;;
Product;наименование продукта с указанием объема упаковки;;;
